Cases,medianIncome,youthUnemployment2013,unemployment2013,unemploymentChange,reportedCrime,populationChange,hasEducation,asylumCosts,urbanDegree,foreignBorn,reportedCrimeVandalism,youngUnskilled,population,populationShare65plus,refugees
107,1,208187,10.6,7.2,-1.6,1115,3.7,28.6,802,85.4,13.1,12.7,9.8,20904,18.7,23.5
108,0,241204,4.9,3.7,-1.3,433,6.5,45.8,423,79.3,8.2,9.8,6.6,77390,18.9,1.9
109,0,197145,9.9,8.8,-0.4,636,0.1,26.5,335,76.0,15.5,12.6,13.4,8175,23.5,23.6
110,0,224289,4.0,3.5,-1.2,568,4.6,38.3,312,68.9,10.2,9.8,8.9,42109,19.9,4.3
111,0,233656,6.9,5.0,0.3,507,4.8,43.3,255,90.5,10.4,10.9,6.9,29600,18.0,3.8
112,2,191269,12.9,9.0,-2.1,1169,2.0,26.3,542,82.9,20.1,9.8,11.2,25237,22.8,31.8
113,0,194727,9.0,7.1,-0.5,642,1.1,28.3,459,65.6,12.6,10.7,10.3,23517,23.7,10.8
114,3,182892,14.3,11.7,0.4,1251,5.4,30.4,110,92.7,32.2,16.8,12.1,43073,19.7,20.8
115,0,185176,17.9,9.7,1.6,986,-4.9,22.1,3052,75.7,14.4,9.6,7.7,5580,27.9,16.8
116,0,201743,8.4,5.8,-1.2,329,2.5,29.0,0,42.2,4.9,6.6,11.1,7289,21.2,0.3
117,0,196111,7.0,5.5,-1.0,561,-0.9,36.4,1302,75.7,8.2,7.2,7.8,15157,26.4,14.8
118,0,238430,4.3,3.4,-1.2,511,3.2,44.4,279,88.5,11.2,13.8,7.6,39319,17.6,5.3
119,0,187284,18.1,12.2,1.2,844,-0.3,26.7,3312,87.3,20.3,13.5,14.9,8059,23.6,69.9
120,0,262232,1.3,3.3,0.4,480,4.8,62.6,392,98.3,19.3,9.3,5.3,45178,20.1,8.7
121,0,203485,11.0,7.4,-0.3,599,1.3,34.9,624,75.9,10.4,11.4,7.7,38414,21.7,10.8
122,0,197610,10.0,7.1,-1.2,857,0.0,23.5,219,62.3,15.6,9.0,15.0,12829,19.7,11.6
123,0,193398,13.9,9.8,-0.3,854,0.3,26.8,332,72.8,14.8,9.4,11.7,23176,23.3,36.0
124,11,203774,6.1,6.2,-0.8,747,5.9,52.7,330,89.4,18.4,14.8,5.1,150202,17.2,24.0
125,1,199056,9.2,6.8,-0.8,733,-0.6,29.3,885,71.2,18.7,9.3,7.3,27277,22.6,12.7
126,0,178875,16.8,10.3,-1.6,433,-1.1,23.2,1156,58.5,10.0,11.0,11.0,18931,25.6,23.9
127,0,167961,10.5,8.8,-1.1,1251,-5.0,21.9,4487,72.1,16.6,10.7,16.0,4875,28.3,9.4
128,0,261094,2.9,3.0,-0.3,325,10.0,63.5,330,95.7,9.7,6.7,3.7,22496,20.6,3.6
129,1,192968,9.3,7.2,0.2,1042,0.7,30.2,1142,88.1,13.9,9.1,9.9,25712,24.7,37.6
130,1,206110,9.2,7.4,-1.9,894,2.7,45.4,494,88.9,11.2,11.0,7.5,75383,19.2,13.0
131,0,202153,2.7,4.1,-0.2,772,6.5,71.3,312,94.7,22.9,10.7,3.0,114291,15.5,8.5
