Municipality,Cases,Population,Year,code
Laholm,0,22955,2004,1381
Landskrona,0,39039,2004,1282
Laxå,0,6267,2004,1860
Lekeberg,0,7061,2004,1814
Leksand,0,15504,2004,2029
Lerum,1,36224,2004,1441
Lessebo,1,8198,2004,761
Lidingö,0,41407,2004,186
Lidköping,0,37241,2004,1494
Lilla Edet,2,12902,2004,1462
Lindesberg,1,23300,2004,1885
Linköping,2,136912,2004,580
Ljungby,0,27004,2004,781
Ljusdal,0,19592,2004,2161
Ljusnarsberg,0,5389,2004,1864
Lomma,0,18595,2004,1262
Ludvika,0,25782,2004,2085
Luleå,5,72565,2004,2580
Lund,2,101423,2004,1281
Lycksele,0,12785,2004,2481
Lysekil,0,14767,2004,1484
Malmö,13,269142,2004,1280
Malung-Sälen,1,10557,2004,2023
Malå,0,3464,2004,2418
Mariestad,0,23897,2004,1493
Mark,0,33356,2004,1463
Markaryd,0,9636,2004,767
Mellerud,3,9728,2004,1461
Mjölby,2,25326,2004,586
Mora,0,20083,2004,2062
Motala,1,42062,2004,583
Mullsjö,0,7101,2004,642
Munkedal,0,10318,2004,1430
Munkfors,0,4039,2004,1762
Mölndal,1,57752,2004,1481
Mönsterås,1,13226,2004,861
Mörbylånga,0,13403,2004,840
Nacka,0,78715,2004,182
Nora,0,10523,2004,1884
Norberg,0,5949,2004,1962
Nordanstig,0,9872,2004,2132
Nordmaling,0,7511,2004,2401
Norrköping,3,124410,2004,581
Norrtälje,2,54366,2004,188
Norsjö,0,4483,2004,2417
Nybro,0,19882,2004,881
Nykvarn,0,8328,2004,140
Nyköping,2,49575,2004,480
Nynäshamn,0,24670,2004,192
Nässjö,0,29377,2004,682
Ockelbo,0,6047,2004,2101
Olofström,0,13524,2004,1060
Orsa,0,7031,2004,2034
Orust,0,15160,2004,1421
Osby,0,12625,2004,1273
Oskarshamn,0,26300,2004,882
Ovanåker,0,11985,2004,2121
Oxelösund,0,11273,2004,481
Pajala,0,6925,2004,2521
Partille,0,33281,2004,1402
Perstorp,0,6893,2004,1275
Piteå,0,40830,2004,2581
Ragunda,1,5894,2004,2303
Robertsfors,0,7106,2004,2409
Ronneby,0,28283,2004,1081
Rättvik,0,10864,2004,2031
Sala,1,21554,2004,1981
Salem,0,14127,2004,128
Sandviken,1,36835,2004,2181
Sigtuna,2,36322,2004,191
Simrishamn,0,19470,2004,1291
Sjöbo,0,17404,2004,1265
Skara,0,18507,2004,1495
Skellefteå,1,71786,2004,2482
Skinnskatteberg,0,4829,2004,1904
Skurup,0,14243,2004,1264
Skövde,1,49856,2004,1496
Smedjebacken,0,10923,2004,2061
Sollefteå,0,21207,2004,2283
Sollentuna,1,58897,2004,163
Solna,1,59098,2004,184
Sorsele,0,2957,2004,2422
Sotenäs,0,9336,2004,1427
Staffanstorp,0,20394,2004,1230
Stenungsund,0,22742,2004,1415
Stockholm,10,765044,2004,180
Storfors,0,4569,2004,1760
Storuman,0,6554,2004,2421
Strängnäs,1,30522,2004,486
Strömstad,2,11373,2004,1486
Strömsund,0,13112,2004,2313
Sundbyberg,0,33816,2004,183
Sundsvall,0,93707,2004,2281
Sunne,0,13604,2004,1766
Surahammar,0,10249,2004,1907
Svalöv,0,12973,2004,1214
Svedala,1,18541,2004,1263
Svenljunga,0,10468,2004,1465
Säffle,0,16077,2004,1785
Säter,0,10980,2004,2082
Sävsjö,0,10973,2004,684
Söderhamn,0,26731,2004,2182
Söderköping,0,14095,2004,582
Södertälje,3,80405,2004,181
Sölvesborg,0,16544,2004,1083
Tanum,0,12317,2004,1435
Tibro,0,10572,2004,1472
Tidaholm,1,12543,2004,1498
Tierp,1,20061,2004,360
Timrå,0,17859,2004,2262
Tingsryd,0,12892,2004,763
Tjörn,0,15019,2004,1419
Tomelilla,0,12561,2004,1270
Torsby,1,13086,2004,1737
Torsås,0,7263,2004,834
Tranemo,0,11894,2004,1452
Tranås,0,17751,2004,687
Trelleborg,1,39477,2004,1287
Trollhättan,1,53154,2004,1488
Trosa,0,10627,2004,488
Tyresö,0,40605,2004,138
Täby,0,60422,2004,160
Töreboda,0,9445,2004,1473
Uddevalla,0,50068,2004,1485
Ulricehamn,0,22342,2004,1491
Umeå,4,109390,2004,2480
Upplands-Bro,1,21348,2004,139
Upplands Väsby,1,37517,2004,114
Uppsala,7,182076,2004,380
Uppvidinge,0,9514,2004,760
Vadstena,0,7562,2004,584
Vaggeryd,0,12660,2004,665
Valdemarsvik,0,8159,2004,563
Vallentuna,0,26889,2004,115
Vansbro,0,7122,2004,2021
Vara,0,16026,2004,1470
Varberg,0,54338,2004,1383
Vaxholm,0,9904,2004,187
Vellinge,0,31596,2004,1233
Vetlanda,0,26531,2004,685
Vilhelmina,0,7422,2004,2462
Vimmerby,0,15596,2004,884
Vindeln,0,5773,2004,2404
Vingåker,0,9178,2004,428
Vårgårda,0,10680,2004,1442
Vänersborg,0,37105,2004,1487
Vännäs,0,8525,2004,2460
Värmdö,0,34029,2004,120
Värnamo,0,32464,2004,683
Västervik,1,36566,2004,883
Västerås,2,131014,2004,1980
Växjö,3,76755,2004,780
Ydre,0,3894,2004,512
Ystad,0,26898,2004,1286
Åmål,0,12823,2004,1492
Ånge,0,10821,2004,2260
Åre,0,9821,2004,2321
Årjäng,0,9799,2004,1765
Åsele,0,3375,2004,2463
Åstorp,0,13389,2004,1277
Åtvidaberg,0,11817,2004,561
Älmhult,0,15421,2004,765
Älvdalen,0,7515,2004,2039
Älvkarleby,1,9041,2004,319
Älvsbyn,0,8775,2004,2560
Ängelholm,0,38140,2004,1292
Öckerö,0,12147,2004,1407
Ödeshög,0,5520,2004,509
Örebro,1,126982,2004,1880
Örkelljunga,0,9500,2004,1257
Örnsköldsvik,0,54945,2004,2284
Östersund,1,58459,2004,2380
Österåker,0,36867,2004,117
Östhammar,0,21738,2004,382
Östra Göinge,0,13978,2004,1256
Överkalix,0,3933,2004,2513
Övertorneå,0,5244,2004,2518
Ale,1,26405,2005,1440
Alingsås,2,36010,2005,1489
Alvesta,0,18684,2005,764
Aneby,0,6576,2005,604
Arboga,0,13380,2005,1984
Arjeplog,0,3159,2005,2506
Arvidsjaur,0,6814,2005,2505
Arvika,0,26265,2005,1784
Askersund,0,11461,2005,1882
Avesta,0,21954,2005,2084
Bengtsfors,0,10225,2005,1460
Berg,0,7696,2005,2326
Bjurholm,0,2553,2005,2403
Bjuv,0,14007,2005,1260
Boden,0,28176,2005,2582
Bollebygd,0,8086,2005,1443
Bollnäs,0,26237,2005,2183
Borgholm,0,11067,2005,885
Borlänge,1,46987,2005,2081
Borås,4,99325,2005,1490
Botkyrka,2,76592,2005,127
Boxholm,0,5242,2005,560
Bromölla,0,12098,2005,1272
Bräcke,0,7192,2005,2305
Burlöv,2,15320,2005,1231
Båstad,0,14044,2005,1278
Dals-Ed,0,4891,2005,1438
Danderyd,0,30226,2005,162
Degerfors,1,10093,2005,1862
Dorotea,0,3082,2005,2425
Eda,0,8601,2005,1730
Ekerö,0,24010,2005,125
Eksjö,0,16575,2005,686
Emmaboda,0,9543,2005,862
Enköping,0,38422,2005,381
Eskilstuna,7,91635,2005,484
Eslöv,0,30087,2005,1285
Essunga,0,5717,2005,1445
Fagersta,1,12270,2005,1982
Falkenberg,0,39605,2005,1382
Falköping,1,31185,2005,1499
Falun,0,55274,2005,2080
Filipstad,0,11017,2005,1782
Finspång,0,20888,2005,562
Flen,0,16412,2005,482
Forshaga,0,11515,2005,1763
Färgelanda,0,6824,2005,1439
Gagnef,0,10131,2005,2026
Gislaved,1,29489,2005,662
Gnesta,0,9958,2005,461
Gnosjö,0,9753,2005,617
Gotland,2,57488,2005,980
Grums,0,9408,2005,1764
Grästorp,0,5762,2005,1444
Gullspång,0,5595,2005,1447
Gällivare,0,19077,2005,2523
Gävle,2,92205,2005,2180
Göteborg,39,484942,2005,1480
Götene,0,12879,2005,1471
Habo,0,9842,2005,643
Hagfors,0,13337,2005,1783
Hallsberg,1,15315,2005,1861
Hallstahammar,0,14955,2005,1961
Halmstad,1,88224,2005,1380
Hammarö,0,14374,2005,1761
Haninge,2,71837,2005,136
Haparanda,0,10184,2005,2583
Heby,0,13634,2005,331
Hedemora,0,15494,2005,2083
Helsingborg,6,122062,2005,1283
Herrljunga,1,9305,2005,1466
Hjo,0,8849,2005,1497
Hofors,0,10197,2005,2104
Huddinge,0,88750,2005,126
Hudiksvall,0,37004,2005,2184
Hultsfred,0,14456,2005,860
Hylte,0,10368,2005,1315
Håbo,0,18569,2005,305
Hällefors,0,7627,2005,1863
Härjedalen,0,10889,2005,2361
Härnösand,2,25227,2005,2280
Härryda,0,32049,2005,1401
Hässleholm,0,49148,2005,1293
Höganäs,0,23482,2005,1284
Högsby,0,6066,2005,821
Hörby,0,14274,2005,1266
Höör,0,14604,2005,1267
Jokkmokk,0,5534,2005,2510
Järfälla,8,61743,2005,123
Jönköping,0,120965,2005,680
Kalix,0,17483,2005,2514
Kalmar,3,60924,2005,880
Karlsborg,0,6898,2005,1446
Karlshamn,0,31006,2005,1082
Karlskoga,0,30185,2005,1883
Karlskrona,0,61383,2005,1080
Karlstad,1,82096,2005,1780
Katrineholm,0,32185,2005,483
Kil,0,11813,2005,1715
Kinda,0,9946,2005,513
Kiruna,0,23135,2005,2584
Klippan,0,16048,2005,1276
Knivsta,0,13324,2005,330
Kramfors,0,20107,2005,2282
Kristianstad,2,75915,2005,1290
Kristinehamn,1,23899,2005,1781
Krokom,0,14130,2005,2309
Kumla,1,19473,2005,1881
Kungsbacka,1,69817,2005,1384
Kungsör,0,8303,2005,1960
Kungälv,2,38703,2005,1482
Kävlinge,0,26704,2005,1261
Köping,3,24646,2005,1983
Laholm,0,23037,2005,1381
Landskrona,0,39346,2005,1282
Laxå,0,6136,2005,1860
Lekeberg,0,7081,2005,1814
Leksand,1,15440,2005,2029
Lerum,2,36506,2005,1441
Lessebo,1,8127,2005,761
Lidingö,0,41892,2005,186
Lidköping,0,37380,2005,1494
Lilla Edet,0,12889,2005,1462
Lindesberg,1,23228,2005,1885
Linköping,4,137636,2005,580
Ljungby,0,27093,2005,781
Ljusdal,0,19384,2005,2161
Ljusnarsberg,0,5317,2005,1864
Lomma,0,18854,2005,1262
Ludvika,1,25537,2005,2085
Luleå,5,72751,2005,2580
Lund,4,102257,2005,1281
Lycksele,0,12701,2005,2481
Lysekil,0,14657,2005,1484
Malmö,15,271271,2005,1280
Malung-Sälen,0,10513,2005,2023
Malå,0,3421,2005,2418
Mariestad,0,23895,2005,1493
Mark,0,33494,2005,1463
Markaryd,0,9571,2005,767
Mellerud,0,9638,2005,1461
Mjölby,0,25258,2005,586
Mora,0,20212,2005,2062
Motala,3,41912,2005,583
Mullsjö,0,7087,2005,642
Munkedal,0,10284,2005,1430
Munkfors,0,3995,2005,1762
Mölndal,2,58234,2005,1481
Mönsterås,1,13103,2005,861
Mörbylånga,0,13405,2005,840
Nacka,3,80247,2005,182
Nora,0,10472,2005,1884
Norberg,0,5866,2005,1962
Nordanstig,0,9847,2005,2132
Nordmaling,0,7470,2005,2401
Norrköping,2,124642,2005,581
Norrtälje,1,54596,2005,188
Norsjö,0,4466,2005,2417
Nybro,0,19775,2005,881
Nykvarn,0,8354,2005,140
Nyköping,0,49816,2005,480
Nynäshamn,0,24648,2005,192
Nässjö,0,29314,2005,682
Ockelbo,0,6051,2005,2101
Olofström,0,13391,2005,1060
Orsa,0,7020,2005,2034
Orust,0,15188,2005,1421
Osby,0,12600,2005,1273
Oskarshamn,0,26247,2005,882
Ovanåker,0,11873,2005,2121
Oxelösund,0,11134,2005,481
Pajala,0,6798,2005,2521
Partille,0,33543,2005,1402
Perstorp,1,6886,2005,1275
Piteå,3,40873,2005,2581
Ragunda,0,5796,2005,2303
Robertsfors,0,7066,2005,2409
Ronneby,0,28358,2005,1081
Rättvik,0,10886,2005,2031
Sala,0,21446,2005,1981
Salem,0,14334,2005,128
Sandviken,2,36690,2005,2181
Sigtuna,0,36711,2005,191
Simrishamn,1,19425,2005,1291
Sjöbo,0,17501,2005,1265
Skara,0,18578,2005,1495
Skellefteå,1,71910,2005,2482
Skinnskatteberg,0,4761,2005,1904
Skurup,0,14415,2005,1264
Skövde,0,49980,2005,1496
Smedjebacken,0,10812,2005,2061
Sollefteå,0,20976,2005,2283
Sollentuna,0,59355,2005,163
Solna,0,60575,2005,184
Sorsele,0,2905,2005,2422
Sotenäs,0,9311,2005,1427
Staffanstorp,0,20602,2005,1230
Stenungsund,0,22947,2005,1415
Stockholm,9,771038,2005,180
Storfors,0,4542,2005,1760
Storuman,0,6507,2005,2421
Strängnäs,0,30655,2005,486
Strömstad,0,11507,2005,1486
Strömsund,0,12931,2005,2313
Sundbyberg,0,34016,2005,183
Sundsvall,2,94044,2005,2281
Sunne,0,13586,2005,1766
Surahammar,0,10196,2005,1907
Svalöv,0,13012,2005,1214
Svedala,0,18716,2005,1263
Svenljunga,0,10430,2005,1465
Säffle,1,16080,2005,1785
Säter,0,10989,2005,2082
Sävsjö,1,10989,2005,684
Söderhamn,0,26506,2005,2182
Söderköping,0,14025,2005,582
Södertälje,3,80553,2005,181
Sölvesborg,0,16558,2005,1083
Tanum,0,12252,2005,1435
Tibro,0,10581,2005,1472
Tidaholm,0,12535,2005,1498
Tierp,0,20056,2005,360
Timrå,1,17747,2005,2262
Tingsryd,0,12793,2005,763
Tjörn,0,15022,2005,1419
Tomelilla,0,12682,2005,1270
Torsby,0,12960,2005,1737
Torsås,0,7240,2005,834
Tranemo,0,11804,2005,1452
Tranås,0,17765,2005,687
Trelleborg,2,39830,2005,1287
Trollhättan,1,53302,2005,1488
Trosa,0,10831,2005,488
Tyresö,1,41134,2005,138
Täby,0,60594,2005,160
Töreboda,0,9470,2005,1473
Uddevalla,0,50314,2005,1485
Ulricehamn,1,22381,2005,1491
Umeå,2,110758,2005,2480
Upplands-Bro,2,21327,2005,139
Upplands Väsby,1,37624,2005,114
Uppsala,12,183308,2005,380
Uppvidinge,1,9466,2005,760
Vadstena,0,7527,2005,584
Vaggeryd,0,12665,2005,665
Valdemarsvik,0,8122,2005,563
Vallentuna,1,27397,2005,115
Vansbro,0,7061,2005,2021
Vara,1,16008,2005,1470
Varberg,0,54817,2005,1383
Vaxholm,0,10123,2005,187
Vellinge,0,31722,2005,1233
Vetlanda,0,26459,2005,685
Vilhelmina,0,7327,2005,2462
Vimmerby,0,15613,2005,884
Vindeln,0,5752,2005,2404
Vingåker,0,9269,2005,428
Vårgårda,1,10756,2005,1442
Vänersborg,0,36951,2005,1487
Vännäs,0,8412,2005,2460
Värmdö,0,34933,2005,120
Värnamo,1,32700,2005,683
Västervik,3,36505,2005,883
Västerås,0,131934,2005,1980
Växjö,1,77363,2005,780
Ydre,0,3866,2005,512
Ystad,0,27120,2005,1286
Åmål,0,12737,2005,1492
Ånge,0,10692,2005,2260
Åre,0,9966,2005,2321
Årjäng,0,9800,2005,1765
Åsele,0,3322,2005,2463
Åstorp,0,13541,2005,1277
Åtvidaberg,0,11723,2005,561
Älmhult,0,15346,2005,765
Älvdalen,0,7445,2005,2039
Älvkarleby,0,9080,2005,319
Älvsbyn,0,8655,2005,2560
Ängelholm,1,38347,2005,1292
Öckerö,0,12231,2005,1407
Ödeshög,1,5516,2005,509
Örebro,0,127733,2005,1880
Örkelljunga,0,9553,2005,1257
Örnsköldsvik,0,54943,2005,2284
Östersund,1,58428,2005,2380
Österåker,3,37336,2005,117
Östhammar,0,21608,2005,382
Östra Göinge,0,13991,2005,1256
Överkalix,0,3872,2005,2513
Övertorneå,0,5229,2005,2518
Ale,2,26800,2006,1440
Alingsås,1,36481,2006,1489
Alvesta,0,18741,2006,764
Aneby,0,6551,2006,604
Arboga,0,13391,2006,1984
Arjeplog,0,3151,2006,2506
Arvidsjaur,0,6791,2006,2505
Arvika,0,26131,2006,1784
Askersund,0,11470,2006,1882
Avesta,1,21963,2006,2084
Bengtsfors,0,10080,2006,1460
Berg,0,7592,2006,2326
Bjurholm,0,2541,2006,2403
Bjuv,0,14199,2006,1260
Boden,0,28002,2006,2582
Bollebygd,0,8179,2006,1443
Bollnäs,0,26278,2006,2183
Borgholm,0,10983,2006,885
Borlänge,1,47399,2006,2081
Borås,10,100221,2006,1490
Botkyrka,1,77553,2006,127
Boxholm,0,5226,2006,560
Bromölla,0,12145,2006,1272
Bräcke,1,7202,2006,2305
Burlöv,0,15662,2006,1231
Båstad,0,14170,2006,1278
Dals-Ed,0,4900,2006,1438
Danderyd,0,30492,2006,162
Degerfors,0,10014,2006,1862
Dorotea,0,3069,2006,2425
Eda,0,8670,2006,1730
Ekerö,0,24301,2006,125
Eksjö,1,16516,2006,686
Emmaboda,0,9436,2006,862
Enköping,1,38486,2006,381
Eskilstuna,8,92250,2006,484
Eslöv,1,30437,2006,1285
Essunga,0,5651,2006,1445
Fagersta,0,12202,2006,1982
Falkenberg,0,39874,2006,1382
Falköping,1,31240,2006,1499
Falun,0,55267,2006,2080
Filipstad,0,10952,2006,1782
Finspång,0,20812,2006,562
Flen,0,16222,2006,482
Forshaga,0,11466,2006,1763
Färgelanda,0,6779,2006,1439
Gagnef,0,10080,2006,2026
Gislaved,2,29327,2006,662
Gnesta,0,9981,2006,461
Gnosjö,0,9598,2006,617
Gotland,1,57297,2006,980
Grums,0,9332,2006,1764
Grästorp,0,5809,2006,1444
Gullspång,0,5506,2006,1447
Gällivare,0,18959,2006,2523
Gävle,4,92416,2006,2180
Göteborg,48,489757,2006,1480
Götene,0,12959,2006,1471
Habo,0,10122,2006,643
Hagfors,0,13127,2006,1783
Hallsberg,0,15287,2006,1861
Hallstahammar,0,15042,2006,1961
Halmstad,0,88958,2006,1380
Hammarö,0,14489,2006,1761
Haninge,2,72956,2006,136
Haparanda,0,10214,2006,2583
Heby,0,13530,2006,331
Hedemora,1,15380,2006,2083
Helsingborg,16,123389,2006,1283
Herrljunga,0,9243,2006,1466
Hjo,0,8853,2006,1497
Hofors,0,10091,2006,2104
Huddinge,0,90182,2006,126
Hudiksvall,0,36956,2006,2184
Hultsfred,0,14306,2006,860
Hylte,0,10371,2006,1315
Håbo,1,18637,2006,305
Hällefors,0,7539,2006,1863
Härjedalen,0,10764,2006,2361
Härnösand,2,25080,2006,2280
Härryda,0,32395,2006,1401
Hässleholm,1,49381,2006,1293
Höganäs,0,23857,2006,1284
Högsby,0,6033,2006,821
Hörby,0,14540,2006,1266
Höör,0,14777,2006,1267
Jokkmokk,0,5491,2006,2510
Järfälla,6,62342,2006,123
Jönköping,5,122194,2006,680
Kalix,0,17396,2006,2514
Kalmar,0,61321,2006,880
Karlsborg,0,6880,2006,1446
Karlshamn,0,31179,2006,1082
Karlskoga,0,30159,2006,1883
Karlskrona,1,61844,2006,1080
Karlstad,1,82878,2006,1780
Katrineholm,0,32029,2006,483
Kil,1,11803,2006,1715
Kinda,0,9918,2006,513
Kiruna,0,23258,2006,2584
Klippan,1,16106,2006,1276
Knivsta,0,13597,2006,330
Kramfors,0,19816,2006,2282
Kristianstad,1,76540,2006,1290
Kristinehamn,0,23848,2006,1781
Krokom,0,14270,2006,2309
Kumla,0,19643,2006,1881
Kungsbacka,2,71044,2006,1384
Kungsör,0,8211,2006,1960
Kungälv,0,38899,2006,1482
Kävlinge,0,27369,2006,1261
Köping,2,24659,2006,1983
Laholm,0,23153,2006,1381
Landskrona,2,40018,2006,1282
Laxå,0,6046,2006,1860
Lekeberg,0,7096,2006,1814
Leksand,0,15450,2006,2029
Lerum,2,37092,2006,1441
Lessebo,0,8099,2006,761
Lidingö,0,42321,2006,186
Lidköping,0,37526,2006,1494
Lilla Edet,0,12836,2006,1462
Lindesberg,0,23074,2006,1885
Linköping,4,138580,2006,580
Ljungby,0,27121,2006,781
Ljusdal,0,19243,2006,2161
Ljusnarsberg,0,5243,2006,1864
Lomma,0,19434,2006,1262
Ludvika,0,25477,2006,2085
Luleå,5,73313,2006,2580
Lund,3,103286,2006,1281
Lycksele,0,12612,2006,2481
Lysekil,0,14631,2006,1484
Malmö,16,276244,2006,1280
Malung-Sälen,0,10518,2006,2023
Malå,0,3348,2006,2418
Mariestad,0,23933,2006,1493
Mark,1,33594,2006,1463
Markaryd,0,9613,2006,767
Mellerud,0,9623,2006,1461
Mjölby,1,25348,2006,586
Mora,0,20159,2006,2062
Motala,0,41959,2006,583
Mullsjö,0,7075,2006,642
Munkedal,0,10246,2006,1430
Munkfors,0,3936,2006,1762
Mölndal,2,58938,2006,1481
Mönsterås,0,13111,2006,861
Mörbylånga,0,13520,2006,840
Nacka,2,82421,2006,182
Nora,1,10482,2006,1884
Norberg,0,5843,2006,1962
Nordanstig,0,9810,2006,2132
Nordmaling,0,7426,2006,2401
Norrköping,1,125463,2006,581
Norrtälje,0,54836,2006,188
Norsjö,0,4437,2006,2417
Nybro,0,19680,2006,881
Nykvarn,0,8609,2006,140
Nyköping,0,50191,2006,480
Nynäshamn,0,24992,2006,192
Nässjö,1,29369,2006,682
Ockelbo,0,6038,2006,2101
Olofström,0,13355,2006,1060
Orsa,0,7026,2006,2034
Orust,0,15185,2006,1421
Osby,0,12634,2006,1273
Oskarshamn,0,26244,2006,882
Ovanåker,0,11816,2006,2121
Oxelösund,0,11111,2006,481
Pajala,1,6688,2006,2521
Partille,3,33614,2006,1402
Perstorp,1,6898,2006,1275
Piteå,0,40943,2006,2581
Ragunda,0,5806,2006,2303
Robertsfors,1,6996,2006,2409
Ronneby,0,28443,2006,1081
Rättvik,0,10884,2006,2031
Sala,0,21360,2006,1981
Salem,1,14715,2006,128
Sandviken,1,36748,2006,2181
Sigtuna,2,36976,2006,191
Simrishamn,0,19418,2006,1291
Sjöbo,3,17721,2006,1265
Skara,0,18595,2006,1495
Skellefteå,1,71966,2006,2482
Skinnskatteberg,0,4752,2006,1904
Skurup,0,14703,2006,1264
Skövde,0,50153,2006,1496
Smedjebacken,1,10715,2006,2061
Sollefteå,1,20849,2006,2283
Sollentuna,2,60528,2006,163
Solna,0,61717,2006,184
Sorsele,0,2867,2006,2422
Sotenäs,0,9283,2006,1427
Staffanstorp,0,20840,2006,1230
Stenungsund,0,23190,2006,1415
Stockholm,26,782885,2006,180
Storfors,0,4526,2006,1760
Storuman,0,6432,2006,2421
Strängnäs,1,31152,2006,486
Strömstad,0,11569,2006,1486
Strömsund,0,12782,2006,2313
Sundbyberg,0,34529,2006,183
Sundsvall,0,94516,2006,2281
Sunne,1,13591,2006,1766
Surahammar,0,10109,2006,1907
Svalöv,0,13055,2006,1214
Svedala,1,18988,2006,1263
Svenljunga,0,10405,2006,1465
Säffle,1,15973,2006,1785
Säter,1,10991,2006,2082
Sävsjö,0,10985,2006,684
Söderhamn,0,26257,2006,2182
Söderköping,1,14051,2006,582
Södertälje,2,81791,2006,181
Sölvesborg,0,16615,2006,1083
Tanum,0,12253,2006,1435
Tibro,0,10671,2006,1472
Tidaholm,0,12653,2006,1498
Tierp,1,19943,2006,360
Timrå,0,17870,2006,2262
Tingsryd,0,12712,2006,763
Tjörn,0,14954,2006,1419
Tomelilla,0,12719,2006,1270
Torsby,0,12946,2006,1737
Torsås,0,7154,2006,834
Tranemo,0,11742,2006,1452
Tranås,0,17765,2006,687
Trelleborg,0,40320,2006,1287
Trollhättan,1,53830,2006,1488
Trosa,0,10951,2006,488
Tyresö,0,41476,2006,138
Täby,0,61006,2006,160
Töreboda,0,9368,2006,1473
Uddevalla,0,50507,2006,1485
Ulricehamn,1,22436,2006,1491
Umeå,2,111235,2006,2480
Upplands-Bro,1,21638,2006,139
Upplands Väsby,0,37848,2006,114
Uppsala,4,185187,2006,380
Uppvidinge,0,9508,2006,760
Vadstena,0,7541,2006,584
Vaggeryd,0,12816,2006,665
Valdemarsvik,0,8038,2006,563
Vallentuna,3,27868,2006,115
Vansbro,0,6983,2006,2021
Vara,0,15961,2006,1470
Varberg,0,55459,2006,1383
Vaxholm,0,10440,2006,187
Vellinge,0,32270,2006,1233
Vetlanda,0,26380,2006,685
Vilhelmina,0,7280,2006,2462
Vimmerby,0,15588,2006,884
Vindeln,0,5665,2006,2404
Vingåker,0,9212,2006,428
Vårgårda,0,10896,2006,1442
Vänersborg,1,37023,2006,1487
Vännäs,1,8436,2006,2460
Värmdö,0,35803,2006,120
Värnamo,1,32841,2006,683
Västervik,1,36400,2006,883
Västerås,5,132920,2006,1980
Växjö,3,78473,2006,780
Ydre,0,3822,2006,512
Ystad,1,27398,2006,1286
Åmål,0,12716,2006,1492
Ånge,0,10604,2006,2260
Åre,0,10021,2006,2321
Årjäng,0,9821,2006,1765
Åsele,0,3271,2006,2463
Åstorp,1,13885,2006,1277
Åtvidaberg,0,11775,2006,561
Älmhult,1,15368,2006,765
Älvdalen,1,7419,2006,2039
Älvkarleby,0,9110,2006,319
Älvsbyn,0,8653,2006,2560
Ängelholm,0,38682,2006,1292
Öckerö,0,12229,2006,1407
Ödeshög,0,5433,2006,509
Örebro,5,128977,2006,1880
Örkelljunga,0,9529,2006,1257
Örnsköldsvik,0,55243,2006,2284
Östersund,1,58583,2006,2380
Österåker,2,37879,2006,117
Östhammar,0,21435,2006,382
Östra Göinge,0,13886,2006,1256
Överkalix,0,3859,2006,2513
Övertorneå,0,5168,2006,2518
Ale,1,27092,2007,1440
Alingsås,1,36739,2007,1489
Alvesta,0,18776,2007,764
Aneby,0,6506,2007,604
Arboga,0,13369,2007,1984
Arjeplog,0,3089,2007,2506
Arvidsjaur,0,6751,2007,2505
Arvika,0,26250,2007,1784
Askersund,0,11394,2007,1882
Avesta,0,21886,2007,2084
Bengtsfors,0,9957,2007,1460
Berg,0,7586,2007,2326
Bjurholm,0,2549,2007,2403
Bjuv,0,14470,2007,1260
Boden,1,27838,2007,2582
Bollebygd,0,8193,2007,1443
Bollnäs,0,26217,2007,2183
Borgholm,0,10933,2007,885
Borlänge,0,47756,2007,2081
Borås,3,100985,2007,1490
Botkyrka,0,79031,2007,127
Boxholm,0,5223,2007,560
Bromölla,0,12181,2007,1272
Bräcke,0,7109,2007,2305
Burlöv,0,15952,2007,1231
Båstad,0,14242,2007,1278
Dals-Ed,0,4835,2007,1438
Danderyd,0,30789,2007,162
Degerfors,0,9903,2007,1862
Dorotea,0,2993,2007,2425
Eda,0,8649,2007,1730
Ekerö,0,24687,2007,125
Eksjö,1,16435,2007,686
Emmaboda,0,9383,2007,862
Enköping,1,38768,2007,381
Eskilstuna,5,93343,2007,484
Eslöv,0,30775,2007,1285
Essunga,0,5638,2007,1445
Fagersta,0,12183,2007,1982
Falkenberg,1,40164,2007,1382
Falköping,0,31311,2007,1499
Falun,0,55220,2007,2080
Filipstad,0,10782,2007,1782
Finspång,1,20703,2007,562
Flen,0,16191,2007,482
Forshaga,0,11444,2007,1763
Färgelanda,0,6770,2007,1439
Gagnef,0,10111,2007,2026
Gislaved,0,29330,2007,662
Gnesta,0,10031,2007,461
Gnosjö,0,9657,2007,617
Gotland,0,57122,2007,980
Grums,0,9302,2007,1764
Grästorp,0,5831,2007,1444
Gullspång,0,5425,2007,1447
Gällivare,1,18860,2007,2523
Gävle,1,92681,2007,2180
Göteborg,28,493502,2007,1480
Götene,0,13056,2007,1471
Habo,0,10375,2007,643
Hagfors,0,12993,2007,1783
Hallsberg,1,15268,2007,1861
Hallstahammar,0,15040,2007,1961
Halmstad,0,89727,2007,1380
Hammarö,0,14547,2007,1761
Haninge,1,73698,2007,136
Haparanda,0,10192,2007,2583
Heby,0,13492,2007,331
Hedemora,0,15301,2007,2083
Helsingborg,12,124986,2007,1283
Herrljunga,2,9304,2007,1466
Hjo,0,8809,2007,1497
Hofors,0,10039,2007,2104
Huddinge,0,91827,2007,126
Hudiksvall,0,36927,2007,2184
Hultsfred,0,14196,2007,860
Hylte,0,10257,2007,1315
Håbo,0,18931,2007,305
